Cluster,keyword,Keywords (in the same cluster),Avg Search Volume,Total_Search_Volume,Highest Volume Search Terms,Highest_Search_Volume,relevance_score,Chewy_URL,product_count,CTR
448,chicken strips dog treats,chicken strips dog treats,170.0,170.0,chicken strips dog treats,170.0,9.3986,https://www.chewy.com/smokehouse-usa-chicken-breast-strips/dp/47209,50.0,0.0
371,canned cat food for kittens,"canned cat food for kittens, kitten food to cat food, kibble cat food for kittens","30.0, 20.0, 20.0",70.0,canned cat food for kittens,30.0,9.302900000000001,https://www.chewy.com/fancy-feast-kitten-tender-turkey/dp/103975,156.0,0.125
1092,no plastic dog poop bags,"free dog poop bags, no plastic dog poop bags","30.0, 10.0",40.0,free dog poop bags,30.0,7.38485,,19.0,0.0
1274,horse shampoo for dogs,horse shampoo for dogs,140.0,140.0,horse shampoo for dogs,140.0,9.2985,https://www.chewy.com/davis-miconazole-dog-cat-shampoo/dp/152856,82.0,0.118032787
393,dehydrated salmon cat treats,dehydrated salmon cat treats,10.0,10.0,dehydrated salmon cat treats,10.0,9.2597,https://www.chewy.com/justfoodforcats-salmon-bark/dp/394390,67.0,0.0
338,it's all about dog food,"dog food one, cat food one, it's dog food, it's all about dog food","1300.0, 480.0, 10.0, 10.0",1800.0,dog food one,1300.0,7.999524999999999,https://www.chewy.com/purina-one-smartblend-vibrant/dp/29838,840.0,0.006849315
1137,deboned chicken dog food,deboned chicken dog food,50.0,50.0,deboned chicken dog food,50.0,9.2316,https://www.chewy.com/wellness-complete-health-healthy/dp/30129,348.0,0.090909091
1230,dehydrated ground turkey dog treats,"dehydrated pumpkin dog treats, dehydrated turkey dog treats, dehydrated ground turkey dog treats","40.0, 30.0, 20.0",90.0,dehydrated pumpkin dog treats,40.0,6.892066666666666,https://www.chewy.com/whole-life-living-treats-pumpkin/dp/167060,55.0,0.066666667
1014,peanut butter oatmeal dog treats - no bake,"no bake dog treats, dog treats no bake, no bake peanut butter treats for dogs, no bake peanut butter dog treats, peanut butter dog treats no bake, no peanut butter dog treats, peanut butter oatmeal dog treats - no bake, no cook dog treats, oatmeal peanut butter dog treats no bake, oat flour peanut butter dog treats","1600.0, 1600.0, 480.0, 480.0, 480.0, 50.0, 40.0, 30.0, 20.0, 10.0",4790.0,no bake dog treats,1600.0,7.317130000000001,,307.0,0.0
1194,mealworms chickens,mealworms chickens,1900.0,1900.0,mealworms chickens,1900.0,9.1423,https://www.chewy.com/happy-hen-treats-mealworm-frenzy/dp/122432,68.0,0.0
521,dog diapers poop,dog diapers poop,1300.0,1300.0,dog diapers poop,1300.0,9.1234,https://www.chewy.com/app/product-question/1225269,167.0,0.25
484,lamb and rosemary dog treats,lamb and rosemary dog treats,10.0,10.0,lamb and rosemary dog treats,10.0,9.1173,,63.0,0.0
1051,dog biscuits with coconut flour,"coconut dog biscuits, coconut flour dog biscuits, dog biscuits with coconut flour","10.0, 10.0, 10.0",30.0,coconut dog biscuits,10.0,8.600933333333336,,101.0,0.0
854,chicken treats hens,chicken treats hens,10.0,10.0,chicken treats hens,10.0,9.0566,,4350.0,0.0
95,corned beef dog treats,"corned beef dog food, corned beef dog treats","10.0, 10.0",20.0,corned beef dog food,10.0,9.02085,,554.0,0.0
143,cat beds and blankets,cat beds and blankets,10.0,10.0,cat beds and blankets,10.0,9.0123,,106.0,0.0
7,rabbit hay treats,"rabbit hay treats, rabbit hay plant","10.0, 10.0",20.0,rabbit hay treats,10.0,8.3035,https://www.chewy.com/kaytee-fiesta-blueberry-strawberry/dp/122677,47.0,0.0
136,cat treats kittens,cat treats kittens,260.0,260.0,cat treats kittens,260.0,8.9821,,147.0,0.0
587,african grey parrot perches,"african grey parrot food, african grey parrot treats, african grey parrot perches, grey parrot food, parrot food african grey, african grey parrot stands","170.0, 30.0, 20.0, 10.0, 10.0, 10.0",250.0,african grey parrot food,170.0,7.478883333333333,,58.0,0.0
69,soft dog cookies,"soft dog cookies, mini dog cookies","70.0, 10.0",80.0,soft dog cookies,70.0,8.67355,https://www.chewy.com/three-dog-bakery-classic-cookies/dp/153078,73.0,0.0
1249,no bake sweet potato dog treats,"no bake sweet potato dog treats, sweet potato dog treats oven","10.0, 10.0",20.0,no bake sweet potato dog treats,10.0,8.076,,38.0,0.0
350,cat toys natural,cat toys natural,10.0,10.0,cat toys natural,10.0,8.9666,,128.0,0.0
1011,dog cookies for humans,"dog cookies for humans, dog cookies for dogs","30.0, 10.0",40.0,dog cookies for humans,30.0,8.72255,https://www.chewy.com/exclusively-dog-best-buddy-bones-beef/dp/47055,132.0,0.0
1298,pumpkin dog treats grain free,"pumpkin dog treats grain free, pumpkin dog treats no flour, no flour pumpkin dog treats, no pumpkin dog treats, pumpkin dog treats no eggs","70.0, 20.0, 10.0, 10.0, 10.0",120.0,pumpkin dog treats grain free,70.0,8.61634,,130.0,0.0
125,parrot food vegetables,parrot food vegetables,10.0,10.0,parrot food vegetables,10.0,8.9535,,56.0,0.0
1165,towel dogs,towel dogs,390.0,390.0,towel dogs,390.0,8.9298,,290.0,0.0
