keyword,keyword sv,Keywords (in the same cluster),Avg Search Volume,Total_Search_Volume,relevance_score,Chewy_URL,product_count,CTR
fish cat games,27100,"cat games fish, fish cat games, kitten games fish, cat games with fish","27100.0, 27100.0, 90.0, 20.0",54310,2.761090023,,7,
military dog tags,18100,"dog tags military, military dog tags, dog collars military, dog tags navy, navy dog tags","18100.0, 18100.0, 1600.0, 880.0, 880.0",39560,4.291063457,https://www.chewy.com/onetigris-nylon-military-dog-collar/dp/171045,16,
stable horse toys,2900,horse toys stable,2900,2900,2.683708558,,6,
free cat games,1900,"cat games free, free kitten games, kitten games for free, kitten games free, kitty cat games free, free kitten games to play, virtual cat games free","1900.0, 70.0, 70.0, 70.0, 40.0, 10.0, 10.0",2170,6.35185536,,510,
western horse tack,1600,"horse tack western, western saddles and tack","1600.0, 70.0",1670,5.59306057,https://www.chewy.com/tahoe-tack-western-patriotic-american/dp/271556,279,0
western riding boots,1600,"riding boots western, western riding boots, horse boots western","1600.0, 1600.0, 20.0",3220,4.864089037,,20,
big chicken coops,1300,chicken coops big,1300,1300,3.345634428,,12,
western horse saddles,1300,"horse saddles western, western saddle horse, synthetic western saddles, english and western saddles, western and english saddles, leather western saddles, english saddle leather, western saddle leather","1300.0, 590.0, 480.0, 320.0, 320.0, 170.0, 70.0, 10.0",3260,8.165606382,,47,
submersible pond pumps,1300,"pond pumps submersible, aquarium pumps submersible","1300.0, 590.0",1890,3.77320992,,10,
short dog leash,1000,dog leash short,1000,1000,8.184418822,"https://www.chewy.com/leashboss-padded-handle-short-dog/dp/163713, https://www.chewy.com/dogs-my-love-braided-leather-short/dp/161153, https://www.chewy.com/mighty-paw-nylon-reflective-short-dog/dp/153154",111,0
small pond pumps,1000,"pond pumps small, aquarium pump small, small air pump aquarium, aquarium pump mini, saltwater aquarium pump size","1000.0, 390.0, 170.0, 10.0, 10.0",1580,6.205940259,,22,
western horse bits,880,horse bits western,880,880,2.156978666,,7,
puppy new supplies,590,"supplies new puppy, must have new puppy supplies","590.0, 10.0",600,6.71223892,,2014,
white aquarium gravel,480,"aquarium gravel white, aquarium gravel blue, aquarium gravel green","480.0, 210.0, 10.0",700,3.991996258,"https://www.chewy.com/pure-water-pebbles-coated-aquarium/dp/162583, https://www.chewy.com/aqua-terra-aquarium-terrarium-sand-5/dp/162599, https://www.chewy.com/b/gravel-sand-2252, https://www.chewy.com/pure-water-pebbles-natural-aquarium/dp/162579, https://www.chewy.com/glofish-accent-gravel-aquariums-28-oz/dp/133082, https://www.chewy.com/pure-water-pebbles-natural-aquarium/dp/162579, https://www.chewy.com/pure-water-pebbles-coated-aquarium/dp/162583",13,0.166666667
professional dog kennels,480,"dog kennels professional, dog kennel supplies, cat kennel supplies","480.0, 260.0, 10.0",750,2.149679422,,7,
large lint roller,480,lint roller large,480,480,3.34844013,"https://www.chewy.com/chomchom-roller-pet-hair-remover/dp/163269, https://www.chewy.com/evercare-pet-plus-giant-extreme-stick/dp/151340",11,0
black fish tank stands,170,"fish tank stands black, aquarium stand black","170.0, 20.0",190,4.901496147,"https://www.chewy.com/marineland-majesty-aquarium-stand/dp/209736, https://www.chewy.com/coralife-biocube-aquarium-stand/dp/535462",44,
natural rabbit food,170,rabbit food natural,170,170,8.484296496,"https://www.chewy.com/kaytee-fiesta-natural-rabbit-food-65/dp/288408, https://www.chewy.com/vitakraft-vitasmart-complete/dp/123869",210,0
quiet aquarium pump,70,aquarium pump quiet,70,70,1.513262086,,5,
injectable horse vitamins,70,"horse vitamins injectable, injectable horse vitamins","70.0, 70.0",140,2.769605117,"https://www.chewy.com/liver-7-vitamin-injectable-dogs-cats/dp/201119, https://www.chewy.com/cyanocobalamin-vitamin-b12-injectable/dp/204913, https://www.chewy.com/vita-jec-vitamin-b12-3000-mcg-dogs/dp/214000, https://www.chewy.com/adequan-equine-injectable-horses/dp/184072, https://www.chewy.com/vitamin-b12-generic-injectable/dp/219871, https://www.chewy.com/salix-furosemide-injectable-dogs-cats/dp/201125, https://www.chewy.com/vita-jec-vitamin-b12-1000-mcg-dogs/dp/201131, https://www.chewy.com/vitamin-k1-generic-injectable-dog/dp/201136",6,0.035714286
grain free pumpkin dog treats,70,"pumpkin dog treats grain free, pumpkin dog treats no flour, no flour pumpkin dog treats, no pumpkin dog treats, pumpkin dog treats no eggs","70.0, 20.0, 10.0, 10.0, 10.0",120,8.972905223,,344,
small bird baths,50,bird baths small,50,50,3.07412086,,8,
pattern free cat clothes,50,"cat clothes pattern free, cat clothes designer, matching cat clothes","50.0, 20.0, 20.0",90,7.624884575,,75,
western horse girth,50,"horse girth western, english horse girths, western horse girths","50.0, 30.0, 30.0",110,5.672017585,,27,
hard pet carrier,50,pet carrier hard,50,50,6.521426937,,1340,
pattern free cat harness,40,cat harness pattern free,40,40,2.762225319,,13,
black modern cat tree,40,modern cat tree black,40,40,7.222137317,,183,
big horse toys,30,"horse toys big, horse toy large","30.0, 10.0",40,2.108511989,,9,
red dog bowls,20,dog bowls red,20,20,7.312270546,,275,
black dog stroller,20,dog stroller black,20,20,7.426989979,https://www.chewy.com/paws-pals-deluxe-folding-dog-cat/dp/147869,46,0
